INFO: setting server port as: 80
INFO: Waiting for incoming connection...
R0:13036.503263,0.041792,13036.503366,13036.545159
R1:13036.686721,0.133472,13036.686907,13036.820380
R2:13036.839639,0.018340,13036.839792,13036.858132
R3:13037.082349,0.121834,13037.082486,13037.204320
R4:13037.123259,0.067280,13037.204371,13037.271653
R5:13037.155829,0.082600,13037.271683,13037.354284
R6:13037.220770,0.060026,13037.354333,13037.414360
R7:13037.266175,0.206605,13037.414410,13037.621016
R8:13037.570343,0.105279,13037.621096,13037.726376
R9:13037.671364,0.077822,13037.726408,13037.804230
R10:13037.686696,0.023186,13037.804249,13037.827436
R11:13037.688358,0.135878,13037.827446,13037.963325
R12:13037.703134,0.042700,13037.963370,13038.006100
R13:13037.720192,0.009599,13038.006138,13038.015738
R14:13037.734117,0.020519,13038.015769,13038.036289
R15:13038.417635,0.152254,13038.417806,13038.570061
R16:13038.489656,0.029251,13038.570115,13038.599367
R17:13038.584518,0.061911,13038.599397,13038.661309
R18:13038.686035,0.300301,13038.686191,13038.986493
R19:13038.754138,0.122966,13038.986538,13039.109505
R20:13038.788780,0.122441,13039.109555,13039.231998
R21:13038.863718,0.185106,13039.232035,13039.417142
R22:13038.914875,0.036214,13039.417221,13039.453436
R23:13038.948236,0.209469,13039.453474,13039.662943
R24:13039.113172,0.248530,13039.662981,13039.911512
R25:13039.120425,0.007498,13039.911559,13039.919058
R26:13039.195089,0.090695,13039.919077,13040.009773
R27:13039.216464,0.035756,13040.009808,13040.045565
R28:13039.437413,0.001685,13040.045608,13040.047293
R29:13039.444072,0.005431,13040.047314,13040.052745
R30:13039.505280,0.293993,13040.052770,13040.346764
R31:13039.532526,0.158605,13040.346810,13040.505416
R32:13039.765032,0.064667,13040.505463,13040.570131
R33:13039.796117,0.119012,13040.570209,13040.689248
R34:13039.843162,0.091815,13040.689285,13040.781101
R35:13039.915086,0.003339,13040.781150,13040.784490
R36:13039.990960,0.223818,13040.784511,13041.008330
R37:13040.048544,0.106364,13041.008377,13041.114742
R38:13040.315658,0.111787,13041.114793,13041.226582
R39:13040.349146,0.036419,13041.226618,13041.263037
R40:13040.451330,0.015124,13041.263080,13041.278205
R41:13040.567806,0.176740,13041.278231,13041.454973
R42:13040.625840,0.033415,13041.455025,13041.488441
R43:13040.802589,0.186534,13041.488469,13041.675005
R44:13040.828625,0.096708,13041.675057,13041.771766
R45:13040.871788,0.074023,13041.771825,13041.845850
R46:13041.185251,0.163058,13041.845902,13042.008961
R47:13041.292382,0.214718,13042.009013,13042.223732
R48:13041.350314,0.140511,13042.223783,13042.364295
R49:13041.401187,0.201567,13042.364324,13042.565892
R50:13041.516531,0.020260,13042.565955,13042.586216
R51:13041.582552,0.210611,13042.586280,13042.796891
R52:13041.882695,0.177429,13042.796945,13042.974375
R53:13041.898777,0.047129,13042.974459,13043.021589
R54:13042.001296,0.027498,13043.021640,13043.049139
R55:13042.098000,0.030615,13043.049174,13043.079790
R56:13042.252263,0.021360,13043.079813,13043.101174
R57:13042.311547,0.026940,13043.101239,13043.128180
R58:13042.332352,0.044892,13043.128228,13043.173121
R59:13042.413671,0.197754,13043.173171,13043.370926
R60:13042.432279,0.011230,13043.370960,13043.382191
R61:13042.443185,0.119091,13043.382207,13043.501301
R62:13042.511608,0.227785,13043.501562,13043.729349
R63:13042.929988,0.040265,13043.729397,13043.769664
R64:13043.045373,0.038326,13043.769690,13043.808017
R65:13043.183953,0.022025,13043.808046,13043.830072
