R0:23979.332804,0.041792,23979.332883,23979.374676
R1:23979.516239,0.133472,23979.516365,23979.649837
R2:23979.669128,0.018340,23979.669248,23979.687589
R3:23979.911811,0.121834,23979.911922,23980.033757
R4:23979.952689,0.067280,23980.033779,23980.101114
R5:23979.985240,0.082600,23980.101136,23980.183737
R6:23980.050145,0.060026,23980.183761,23980.243787
R7:23980.095540,0.206605,23980.243811,23980.450417
R8:23980.399703,0.105279,23980.450442,23980.555723
R9:23980.500706,0.077822,23980.555743,23980.633566
R10:23980.515994,0.023186,23980.633582,23980.656769
R11:23980.517648,0.135878,23980.656775,23980.792654
R12:23980.532418,0.042700,23980.792670,23980.835370
R13:23980.549471,0.009599,23980.835411,23980.845011
R14:23980.563387,0.020519,23980.845025,23980.865544
R15:23981.246899,0.152254,23981.248873,23981.401143
R16:23981.319998,0.029251,23981.401190,23981.430442
R17:23981.414890,0.061911,23981.430466,23981.492377
R18:23981.516406,0.300301,23981.516511,23981.816813
R19:23981.584483,0.122966,23981.816832,23981.939799
R20:23981.619100,0.122441,23981.939821,23982.062263
R21:23981.693925,0.185106,23982.062286,23982.247393
R22:23981.745059,0.036214,23982.247410,23982.283624
R23:23981.778386,0.209469,23982.283638,23982.493107
R24:23981.943279,0.248530,23982.493125,23982.741656
R25:23981.950521,0.007498,23982.741677,23982.749176
R26:23982.025183,0.090695,23982.749188,23982.839883
R27:23982.046546,0.035756,23982.839902,23982.875659
R28:23982.267491,0.001685,23982.875676,23982.877361
R29:23982.274136,0.005431,23982.877373,23982.882805
R30:23982.335333,0.293993,23982.882816,23983.176809
R31:23982.362559,0.158605,23983.176833,23983.335440
R32:23982.595058,0.064667,23983.335461,23983.400128
R33:23982.626086,0.119012,23983.400145,23983.519159
R34:23982.673125,0.091815,23983.519179,23983.610995
R35:23982.744994,0.003339,23983.611015,23983.614354
R36:23982.820851,0.223818,23983.614367,23983.838186
R37:23982.878424,0.106364,23983.838207,23983.944571
R38:23983.145527,0.111787,23983.944634,23984.056422
R39:23983.178996,0.036419,23984.056460,23984.092880
R40:23983.281164,0.015124,23984.092916,23984.108040
R41:23983.397612,0.176740,23984.108069,23984.284810
R42:23983.455629,0.033415,23984.284847,23984.318271
R43:23983.632366,0.186534,23984.318289,23984.504824
R44:23983.658383,0.096708,23984.504857,23984.601566
R45:23983.701530,0.074023,23984.601605,23984.675629
R46:23984.014983,0.163058,23984.675668,23984.838727
R47:23984.122111,0.214718,23984.838750,23985.053469
R48:23984.180115,0.140511,23985.053502,23985.194014
R49:23984.230977,0.201567,23985.194045,23985.395613
R50:23984.346320,0.020260,23985.395651,23985.415911
R51:23984.412228,0.210611,23985.415931,23985.626543
R52:23984.712343,0.177429,23985.626582,23985.804012
R53:23984.728355,0.047129,23985.804050,23985.851180
R54:23984.830853,0.027498,23985.851204,23985.878702
R55:23984.927541,0.030615,23985.878719,23985.909335
