INFO: setting server port as: 2222
INFO: Waiting for incoming connection...
[#WORKER#] 41650.827039 Worker Thread Alive!
R0:41650.826990,0.050150,41650.827035,41650.877202
R1:41651.132634,0.160166,41651.132752,41651.292920
R2:41651.387415,0.022008,41651.387551,41651.409560
[#WORKER#] 41651.827044 Still Alive!
R3:41651.791884,0.146200,41651.792000,41651.938201
R4:41651.859990,0.080736,41651.938227,41652.018964
R5:41651.914256,0.099120,41652.018981,41652.118102
R6:41652.022446,0.072031,41652.118122,41652.190154
R7:41652.098093,0.247926,41652.190193,41652.438120
R8:41652.605006,0.126335,41652.605151,41652.731487
R9:41652.773362,0.093386,41652.773490,41652.866881
R10:41652.798859,0.027824,41652.866902,41652.894726
R11:41652.801609,0.163054,41652.894739,41653.057794
R12:41652.826221,0.051240,41653.057832,41653.109073
R13:41652.854633,0.011519,41653.109096,41653.120615
R14:41652.877814,0.024622,41653.120630,41653.145253
[#WORKER#] 41653.827226 Still Alive!
R15:41654.016994,0.182704,41654.017112,41654.199818
R16:41654.136942,0.035102,41654.199842,41654.234944
R17:41654.295037,0.074294,41654.295136,41654.369431
R18:41654.464223,0.360362,41654.464331,41654.824693
R19:41654.577664,0.147559,41654.824716,41654.972276
R20:41654.635359,0.146930,41654.972298,41655.119228
R21:41654.760068,0.222127,41655.119253,41655.341381
R22:41654.845291,0.043457,41655.341403,41655.384860
R23:41654.900831,0.251363,41655.384878,41655.636259
[#WORKER#] 41655.827358 Still Alive!
R24:41655.175656,0.298236,41655.636300,41655.934537
R25:41655.187726,0.008998,41655.934573,41655.943572
R26:41655.312164,0.108834,41655.943588,41656.052423
R27:41655.347757,0.042908,41656.052462,41656.095371
R28:41655.716004,0.002022,41656.095410,41656.097432
R29:41655.727087,0.006517,41656.097446,41656.103963
R30:41655.829084,0.352792,41656.103976,41656.456769
R31:41655.874482,0.190327,41656.456803,41656.647131
R32:41656.261991,0.077600,41656.647202,41656.724803
R33:41656.313717,0.142815,41656.724844,41656.867660
R34:41656.392156,0.110178,41656.867695,41656.977875
R35:41656.511941,0.004007,41656.977914,41656.981921
R36:41656.638382,0.268582,41656.981935,41657.250518
R37:41656.734413,0.127637,41657.250542,41657.378179
R38:41657.179586,0.134145,41657.378225,41657.512370
R39:41657.235367,0.043703,41657.512391,41657.556094
R40:41657.405651,0.018149,41657.556111,41657.574261
R41:41657.599717,0.212089,41657.599824,41657.811914
[#WORKER#] 41657.827520 Still Alive!
R42:41657.696448,0.040098,41657.811945,41657.852043
R43:41657.991026,0.223841,41657.991133,41658.214975
R44:41658.034432,0.116049,41658.215015,41658.331065
R45:41658.106358,0.088828,41658.331085,41658.419914
R46:41658.628751,0.195670,41658.628871,41658.824542
R47:41658.807321,0.257662,41658.824567,41659.082230
R48:41658.903866,0.168614,41659.082261,41659.250875
R49:41658.988592,0.241880,41659.250898,41659.492779
R50:41659.180732,0.024312,41659.492801,41659.517114
R51:41659.290540,0.252733,41659.517135,41659.769869
[#WORKER#] 41659.827639 Still Alive!
R52:41659.790691,0.212915,41659.790803,41660.003718
R53:41659.817363,0.056555,41660.003741,41660.060296
R54:41659.988158,0.032997,41660.060311,41660.093309
R55:41660.149277,0.036738,41660.149380,41660.186119
R56:41660.406279,0.025632,41660.406382,41660.432015
R57:41660.505094,0.032328,41660.505181,41660.537510
R58:41660.539744,0.053871,41660.539815,41660.593687
R59:41660.675273,0.237304,41660.675346,41660.912652
R60:41660.706287,0.013476,41660.912678,41660.926154
R61:41660.724450,0.142909,41660.926176,41661.069087
R62:41660.838476,0.273342,41661.069119,41661.342462
INFO: Client disconnected. Exiting.
